"ARL0_target","delta","m","n_signals","Bonferroni","Holm","BH","Raw p < 0.05","Max proportion"
370,0.05,1,1860,0.0362903225806452,0.0362903225806452,0.039426523297491,0.252956989247312,0.668079023724185
370,0.05,2,1986,0.0251762336354481,0.0251762336354481,0.0286169855656261,0.181226921785834,0.524403762847872
370,0.05,3,1995,0.0159565580618212,0.0159565580618212,0.0172932330827068,0.167460317460317,0.43171858216971
370,0.1,1,1978,0.0237613751263903,0.0240984159083249,0.0303758004718571,0.20180316818335,0.505504598199239
370,0.1,2,1995,0.0134502923976608,0.0131996658312448,0.0158730158730159,0.14937343358396,0.390234514858575
370,0.1,3,1991,0.0145655449522853,0.0145655449522853,0.0181232211618952,0.122877950778503,0.340152711009065
370,0.15,1,1994,0.0176362420595119,0.0184720829154129,0.0223169508525577,0.173269809428285,0.414878564264221
370,0.15,2,1996,0.0124415497661991,0.0124415497661991,0.0171175684702739,0.125217100868403,0.338906980627923
370,0.15,3,1995,0.00701754385964912,0.00701754385964912,0.00973266499582289,0.0899749373433584,0.300664160401003
370,0.2,1,1998,0.0135135135135135,0.0142642642642643,0.0206039372706039,0.166041041041041,0.354647504647505
370,0.2,2,1996,0.0135270541082164,0.0135270541082164,0.0172845691382766,0.105836673346693,0.30989657887203
370,0.2,3,1993,0.00393042314768356,0.00409767519652116,0.00606288677036294,0.0739254055862184,0.268332019210092
370,0.3,1,1996,0.0157815631262525,0.0162825651302605,0.0219605878423514,0.136356045424182,0.303626300219487
370,0.3,2,1995,0.00718462823725982,0.0075187969924812,0.0118629908103592,0.0775689223057644,0.264119823367944
370,0.3,3,1994,0.00125376128385155,0.00125376128385155,0.00388665997993982,0.0407472417251755,0.247912188947796
370,0.4,1,1997,0.00951427140711067,0.00976464697045568,0.0191954598564513,0.102320146886997,0.233824546343325
370,0.4,2,1993,0.00209065061046998,0.00209065061046998,0.00811172436862352,0.0445726710152199,0.224079516402647
370,0.4,3,1990,0.0016750418760469,0.0016750418760469,0.0033500837520938,0.0162730318257956,0.227912778176597
500,0.05,1,1725,0.036231884057971,0.036231884057971,0.0398067632850242,0.263623188405797,0.587339544513458
500,0.05,2,1962,0.0282874617737003,0.0282025144410466,0.0321100917431193,0.218951749915053,0.450465187774056
500,0.05,3,2000,0.02475,0.0246666666666667,0.0265,0.172041666666667,0.37481369047619
500,0.1,1,1960,0.029421768707483,0.0296768707482993,0.0342687074829932,0.217134353741497,0.421110908649174
500,0.1,2,2000,0.02275,0.024,0.0285833333333333,0.165125,0.32128630952381
500,0.1,3,2000,0.0154166666666667,0.0156666666666667,0.019875,0.132041666666667,0.28837619047619
500,0.15,1,1999,0.0230115057528764,0.0240120060030015,0.0283475070868768,0.203018175754544,0.333858000428786
500,0.15,2,2000,0.01925,0.0194166666666667,0.0223333333333333,0.143958333333333,0.294643650793651
500,0.15,3,2000,0.01,0.01,0.0128333333333333,0.100991666666667,0.243647619047619
500,0.2,1,2000,0.022,0.02275,0.03325,0.181458333333333,0.298041666666667
500,0.2,2,2000,0.01225,0.0124166666666667,0.0181666666666667,0.120333333333333,0.253288095238095
500,0.2,3,2000,0.00766666666666667,0.008,0.0116666666666667,0.0776666666666667,0.24
500,0.3,1,2000,0.01375,0.01475,0.0241666666666667,0.156458333333333,0.217242857142857
500,0.3,2,2000,0.00658333333333333,0.00733333333333333,0.0134166666666667,0.0784166666666667,0.20894880952381
500,0.3,3,2000,0.00516666666666667,0.00504166666666667,0.007875,0.0470416666666667,0.195897023809524
500,0.4,1,2000,0.00925,0.01,0.0221666666666667,0.124625,0.169642658730159
500,0.4,2,2000,0.00325,0.00325,0.00916666666666667,0.052375,0.190051984126984
500,0.4,3,2000,0.000916666666666667,0.000916666666666667,0.00395833333333333,0.021325,0.209193452380952
